Trading report for BTC-USD
Started with $100.00
Ended with $16,357.79
Profit is $16,257.79 (16257.79%)

         date   ticker action  quantity          price          cost
0  2014-11-20  BTC-USD    BUY  0.279175     357.839996    100.000000
1  2014-12-17  BTC-USD   SELL  0.279175     319.776001     89.273571
2  2015-02-27  BTC-USD    BUY  0.351006     253.828003     89.184298
3  2015-04-03  BTC-USD   SELL  0.351006     254.322006     89.268601
4  2015-05-18  BTC-USD    BUY  0.382152     233.128006     89.179332
5  2015-06-05  BTC-USD   SELL  0.382152     224.951996     85.965767
6  2015-06-23  BTC-USD    BUY  0.351189     244.296005     85.879801
7  2015-08-16  BTC-USD   SELL  0.351189     258.506989     90.784744
8  2015-10-04  BTC-USD    BUY  0.380273     238.259003     90.693959
9  2016-01-19  BTC-USD   SELL  0.380273     380.148987    144.560221
10 2016-02-24  BTC-USD    BUY  0.339498     424.954987    144.415660
11 2016-03-31  BTC-USD   SELL  0.339498     416.729004    141.478684
12 2016-04-11  BTC-USD    BUY  0.334205     422.483002    141.337205
13 2016-07-25  BTC-USD   SELL  0.334205     654.096985    218.602603
14 2016-09-13  BTC-USD    BUY  0.358094     609.241028    218.384000
15 2017-01-26  BTC-USD   SELL  0.358094     917.585999    328.582459
16 2017-02-01  BTC-USD    BUY  0.331566     989.023010    328.253877
17 2017-03-27  BTC-USD   SELL  0.331566    1045.770020    346.741304
18 2017-04-17  BTC-USD    BUY  0.289845    1193.910034    346.394562
19 2017-07-12  BTC-USD   SELL  0.289845    2398.840088    695.291122
20 2017-08-02  BTC-USD    BUY  0.255989    2710.669922    694.595831
21 2017-09-22  BTC-USD   SELL  0.255989    3630.699951    929.419580
22 2017-10-11  BTC-USD    BUY  0.192182    4826.479980    928.490160
23 2018-01-16  BTC-USD   SELL  0.192182   11490.500000   2208.267324
24 2018-03-04  BTC-USD    BUY  0.191430   11512.599609   2206.059057
25 2018-03-21  BTC-USD   SELL  0.191430    8929.280273   1709.330772
26 2018-04-27  BTC-USD    BUY  0.189819    8987.049805   1707.621441
27 2018-05-26  BTC-USD   SELL  0.189819    7355.879883   1396.287989
28 2018-07-22  BTC-USD    BUY  0.187841    7418.490234   1394.891701
29 2018-08-17  BTC-USD   SELL  0.187841    6580.629883   1236.113498
30 2019-01-07  BTC-USD    BUY  0.306476    4025.248291   1234.877384
31 2019-01-26  BTC-USD   SELL  0.306476    3602.460449   1104.069231
32 2019-02-22  BTC-USD    BUY  0.275086    4005.526611   1102.965162
33 2019-07-29  BTC-USD   SELL  0.275086    9519.145508   2618.581296
34 2019-08-17  BTC-USD    BUY  0.255416   10231.744141   2615.962715
35 2019-08-28  BTC-USD   SELL  0.255416    9754.422852   2491.433955
36 2019-11-05  BTC-USD    BUY  0.266144    9342.527344   2488.942521
37 2019-11-24  BTC-USD   SELL  0.266144    7047.916992   1875.759664
38 2020-01-08  BTC-USD    BUY  0.231689    8079.862793   1873.883904
39 2020-03-06  BTC-USD   SELL  0.231689    9122.545898   2113.589655
40 2020-04-19  BTC-USD    BUY  0.293399    7189.424805   2111.476065
41 2020-06-29  BTC-USD   SELL  0.293399    9190.854492   2696.583235
42 2020-07-27  BTC-USD    BUY  0.244857   10990.873047   2693.886651
43 2020-09-09  BTC-USD   SELL  0.244857   10242.347656   2507.913553
44 2020-10-13  BTC-USD    BUY  0.219055   11425.899414   2505.405639
45 2021-04-27  BTC-USD   SELL  0.219055   55033.117188  12055.290757
46 2021-08-01  BTC-USD    BUY  0.300969   39974.894531  12043.235467
47 2021-09-23  BTC-USD   SELL  0.300969   44895.097656  13512.032905
48 2021-10-11  BTC-USD    BUY  0.234584   57484.789062  13498.520872
49 2021-11-27  BTC-USD   SELL  0.234584   54815.078125  12858.763248
50 2022-02-19  BTC-USD    BUY  0.319850   40122.156250  12845.904484
51 2022-03-07  BTC-USD   SELL  0.319850   38062.039062  12174.142944
52 2022-03-19  BTC-USD    BUY  0.287974   42190.652344  12161.968801
53 2022-03-20  BTC-USD   SELL  0.287974   41247.824219  11878.308815
54 2022-03-27  BTC-USD    BUY  0.253192   46820.492188  11866.430507
55 2022-04-22  BTC-USD   SELL  0.253192   39740.320312  10061.932770
56 2022-07-28  BTC-USD    BUY  0.421149   23843.886719  10051.870837
57 2022-08-29  BTC-USD   SELL  0.421149   20297.994141   8548.479901
58 2022-10-31  BTC-USD    BUY  0.416252   20495.773438   8539.931421
59 2022-11-14  BTC-USD   SELL  0.416252   16618.199219   6917.353258
60 2022-12-25  BTC-USD    BUY  0.409900   16841.986328   6910.435905
61 2023-01-03  BTC-USD   SELL  0.409900   16679.857422   6837.075713
62 2023-01-12  BTC-USD    BUY  0.361609   18869.587891   6830.238637
63 2023-03-10  BTC-USD   SELL  0.361609   20187.244141   7299.891749
64 2023-03-19  BTC-USD    BUY  0.259831   28038.675781   7292.591857
65 2023-05-08  BTC-USD   SELL  0.259831   27694.273438   7195.820276
66 2023-06-25  BTC-USD    BUY  0.235610   30480.261719   7188.624456
67 2023-08-03  BTC-USD   SELL  0.235610   29178.679688   6874.777759
68 2023-10-01  BTC-USD    BUY  0.245180   27983.750000   6867.902981
69 2024-01-24  BTC-USD   SELL  0.245180   40077.074219   9826.077171
70 2024-02-11  BTC-USD    BUY  0.203058   48293.917969   9816.251094
71 2024-04-19  BTC-USD   SELL  0.203058   63843.570312  12963.918953
72 2024-05-25  BTC-USD    BUY  0.186788   69265.945312  12950.955034
73 2024-06-25  BTC-USD   SELL  0.186788   61804.640625  11544.338109
74 2024-07-28  BTC-USD    BUY  0.168795   68255.867188  11532.793771
75 2024-08-14  BTC-USD   SELL  0.168795   58737.269531   9914.577544
76 2024-09-25  BTC-USD    BUY  0.156704   63143.144531   9904.662967
77 2025-01-05  BTC-USD   SELL  0.156704   98314.960938  15406.324093
78 2025-01-21  BTC-USD    BUY  0.144852  106146.265625  15390.917769
79 2025-02-16  BTC-USD   SELL  0.144852   96175.031250  13931.184912
80 2025-04-24  BTC-USD    BUY  0.147996   93943.796875  13917.253727
