Trading report for ETH-USD
Started with $10,233.00
Ended with $290,530.92
Profit is $280,297.92 (2739.16%)

         date   ticker action    quantity        price           cost
0  2017-11-29  ETH-USD    BUY   23.911642   427.523010   10233.000000
1  2018-02-09  ETH-USD   SELL   23.911642   883.864990   21134.663336
2  2018-04-26  ETH-USD    BUY   31.822796   662.809021   21113.528673
3  2018-05-31  ETH-USD   SELL   31.822796   577.645020   18382.279595
4  2019-01-03  ETH-USD    BUY  123.013046   149.135010   18363.897315
5  2019-01-28  ETH-USD   SELL  123.013046   106.589973   13111.957269
6  2019-02-22  ETH-USD    BUY   87.769430   149.092453   13098.845312
7  2019-07-19  ETH-USD   SELL   87.769430   221.333420   19426.307999
8  2019-09-25  ETH-USD    BUY  113.448346   170.892700   19406.881691
9  2019-10-09  ETH-USD   SELL  113.448346   193.293259   21928.800507
10 2019-11-09  ETH-USD    BUY  118.278865   185.028717   21906.871707
11 2019-11-24  ETH-USD   SELL  118.278865   142.834702   16894.326439
12 2020-01-16  ETH-USD    BUY  102.563832   164.391006   16877.432113
13 2020-03-13  ETH-USD   SELL  102.563832   133.201813   13661.688321
14 2020-04-20  ETH-USD    BUY   79.133004   172.297165   13648.026633
15 2020-07-14  ETH-USD   SELL   79.133004   240.211487   19008.656547
16 2020-07-20  ETH-USD    BUY   80.332089   236.153168   18989.647891
17 2020-09-13  ETH-USD   SELL   80.332089   365.570007   29367.002250
18 2020-10-21  ETH-USD    BUY   74.729924   392.189972   29337.635247
19 2021-06-01  ETH-USD   SELL   74.729924  2633.518311  196802.624040
20 2021-08-02  ETH-USD    BUY   75.248228  2610.153320  196605.821416
21 2021-09-25  ETH-USD   SELL   75.248228  2925.565674  220143.632676
22 2021-10-16  ETH-USD    BUY   57.358191  3830.382080  219923.489043
23 2021-12-04  ETH-USD   SELL   57.358191  4119.587402  236292.079243
24 2022-02-23  ETH-USD    BUY   91.037540  2590.359619  236055.787163
25 2022-02-26  ETH-USD   SELL   91.037540  2781.111816  253185.577967
26 2022-03-28  ETH-USD    BUY   75.728915  3336.634521  252932.392389
27 2022-04-27  ETH-USD   SELL   75.728915  2888.929688  218775.511276
28 2022-07-24  ETH-USD    BUY  136.506146  1599.476685  218556.735765
29 2022-09-03  ETH-USD   SELL  136.506146  1556.872681  212522.689002
30 2022-10-31  ETH-USD    BUY  134.861141  1572.714478  212310.166313
31 2022-11-20  ETH-USD   SELL  134.861141  1142.466675  154074.358837
32 2022-12-27  ETH-USD    BUY  126.787252  1212.791626  153920.284478
33 2022-12-29  ETH-USD   SELL  126.787252  1201.595337  152346.971233
34 2023-01-10  ETH-USD    BUY  113.754427  1336.586060  152194.624262
35 2023-03-10  ETH-USD   SELL  113.754427  1429.158081  162573.058964
36 2023-03-21  ETH-USD    BUY   89.800622  1806.760742  162410.485905
37 2023-05-10  ETH-USD   SELL   89.800622  1842.401489  165448.798907
38 2023-07-04  ETH-USD    BUY   85.260442  1936.633545  165283.350108
39 2023-08-05  ETH-USD   SELL   85.260442  1834.987915  156451.880553
40 2023-10-27  ETH-USD    BUY   87.716470  1780.045288  156295.428673
41 2024-02-05  ETH-USD   SELL   87.716470  2298.888916  201650.420987
42 2024-02-14  ETH-USD    BUY   72.445860  2777.902344  201448.770566
43 2024-04-06  ETH-USD   SELL   72.445860  3354.183838  242996.731229
44 2024-05-25  ETH-USD    BUY   64.682828  3749.236572  242753.734498
45 2024-06-28  ETH-USD   SELL   64.682828  3373.635986  218216.315284
46 2024-08-01  ETH-USD    BUY   68.023094  3201.564453  217998.098969
47 2024-08-04  ETH-USD   SELL   68.023094  2686.398926  182737.165734
48 2024-10-02  ETH-USD    BUY   77.105367  2365.231689  182554.428568
49 2025-01-02  ETH-USD   SELL   77.105367  3451.392578  266120.890020
50 2025-05-08  ETH-USD    BUY  120.365926  2206.514648  265854.769130
51 2025-06-26  ETH-USD   SELL  120.365926  2416.146729  290821.739489
