--- Trading Report for ETH/USDT ---
Run Time: 2025-08-15 01:20:23
Duration: 0m 16.8s

Initial Deposit: $1,000.00
Final Value:     $23,544.15
Total Profit:    $22,544.15 (2254.41%)

--- Trade Log ---
         date    ticker action  quantity    price          cost
0  2020-01-21  ETH/USDT    BUY  5.894159   169.49   1000.000000
1  2020-03-13  ETH/USDT   SELL  5.894159   134.06    790.170948
2  2020-04-20  ETH/USDT    BUY  4.633327   170.20    789.380777
3  2020-07-13  ETH/USDT   SELL  4.633327   239.50   1109.681717
4  2020-07-20  ETH/USDT    BUY  4.692448   236.01   1108.572035
5  2020-09-13  ETH/USDT   SELL  4.692448   366.42   1719.406669
6  2020-10-21  ETH/USDT    BUY  4.395643   390.38   1717.687262
7  2021-06-01  ETH/USDT   SELL  4.395643  2634.57  11580.630371
8  2021-08-02  ETH/USDT    BUY  4.433373  2606.93  11569.049740
9  2021-09-25  ETH/USDT   SELL  4.433373  2921.73  12953.117969
10 2021-10-16  ETH/USDT    BUY  3.375293  3829.96  12940.164851
11 2021-12-04  ETH/USDT   SELL  3.375293  4117.25  13896.925572
12 2022-03-28  ETH/USDT    BUY  4.161264  3332.92  13883.028646
13 2022-04-27  ETH/USDT   SELL  4.161264  2888.96  12021.724791
14 2022-07-24  ETH/USDT    BUY  7.509361  1597.70  12009.703066
15 2022-09-03  ETH/USDT   SELL  7.509361  1557.46  11695.528692
16 2022-10-31  ETH/USDT    BUY  7.421781  1572.69  11683.833163
17 2022-11-20  ETH/USDT   SELL  7.421781  1142.21   8477.232651
18 2022-12-27  ETH/USDT    BUY  6.983034  1211.55   8468.755419
19 2022-12-29  ETH/USDT   SELL  6.983034  1200.49   8383.062765
20 2023-01-10  ETH/USDT    BUY  6.263992  1335.62   8374.679702
21 2023-03-10  ETH/USDT   SELL  6.263992  1426.44   8935.209169
22 2023-03-21  ETH/USDT    BUY  4.950704  1801.23   8926.273960
23 2023-05-10  ETH/USDT   SELL  4.950704  1840.84   9113.453990
24 2023-06-09  ETH/USDT    BUY  4.942074  1840.37   9104.340536
25 2023-06-10  ETH/USDT   SELL  4.942074  1751.53   8656.191409
26 2023-07-04  ETH/USDT    BUY  4.461779  1936.20   8647.535217
27 2023-08-05  ETH/USDT   SELL  4.461779  1836.48   8193.967728
28 2023-10-27  ETH/USDT    BUY  4.595704  1779.40   8185.773761
29 2024-02-05  ETH/USDT   SELL  4.595704  2301.83  10578.529942
30 2024-02-14  ETH/USDT    BUY  3.804727  2774.81  10567.951412
31 2024-04-06  ETH/USDT   SELL  3.804727  3351.59  12751.884352
32 2024-05-25  ETH/USDT    BUY  3.394378  3749.26  12739.132468
33 2024-06-28  ETH/USDT   SELL  3.394378  3380.15  11473.507158
34 2024-08-01  ETH/USDT    BUY  3.574509  3203.40  11462.033651
35 2024-08-04  ETH/USDT   SELL  3.574509  2688.92   9611.569527
36 2024-10-02  ETH/USDT    BUY  4.057513  2364.10   9601.957958
37 2025-01-02  ETH/USDT   SELL  4.057513  3455.67  14021.424646
38 2025-05-08  ETH/USDT    BUY  6.339346  2207.39  14007.403221
39 2025-06-26  ETH/USDT   SELL  6.339346  2415.96  15315.607287
40 2025-07-12  ETH/USDT    BUY  5.193188  2943.28  15300.291679
