Trading report for ETH-USD
Started with $1,243,134.00
Ended with $20,730,387.21
Profit is $19,487,253.21 (1567.59%)

         date   ticker action     quantity        price          cost
0  2020-01-21  ETH-USD    BUY  7318.284623   169.697159  1.243134e+06
1  2020-03-13  ETH-USD   SELL  7318.284623   133.201813  9.748088e+05
2  2020-04-20  ETH-USD    BUY  5646.413907   172.297165  9.738340e+05
3  2020-07-14  ETH-USD   SELL  5646.413907   240.211487  1.356333e+06
4  2020-07-20  ETH-USD    BUY  5731.972752   236.153168  1.354977e+06
5  2020-09-13  ETH-USD   SELL  5731.972752   365.570007  2.095437e+06
6  2020-10-21  ETH-USD    BUY  5332.238922   392.189972  2.093342e+06
7  2021-06-01  ETH-USD   SELL  5332.238922  2633.518311  1.404255e+07
8  2021-08-02  ETH-USD    BUY  5369.221680  2610.153320  1.402851e+07
9  2021-09-25  ETH-USD   SELL  5369.221680  2925.565674  1.570801e+07
10 2021-10-16  ETH-USD    BUY  4092.705552  3830.382080  1.569230e+07
11 2021-12-04  ETH-USD   SELL  4092.705552  4119.587402  1.686026e+07
12 2022-02-23  ETH-USD    BUY  6495.843774  2590.359619  1.684340e+07
13 2022-02-26  ETH-USD   SELL  6495.843774  2781.111816  1.806567e+07
14 2022-03-28  ETH-USD    BUY  5403.520380  3336.634521  1.804760e+07
15 2022-04-27  ETH-USD   SELL  5403.520380  2888.929688  1.561039e+07
16 2022-07-24  ETH-USD    BUY  9740.186275  1599.476685  1.559478e+07
17 2022-09-03  ETH-USD   SELL  9740.186275  1556.872681  1.516423e+07
18 2022-10-31  ETH-USD    BUY  9622.809462  1572.714478  1.514907e+07
19 2022-11-20  ETH-USD   SELL  9622.809462  1142.466675  1.099374e+07
20 2022-12-27  ETH-USD    BUY  9046.709575  1212.791626  1.098275e+07
21 2022-12-29  ETH-USD   SELL  9046.709575  1201.595337  1.087048e+07
22 2023-01-10  ETH-USD    BUY  8116.772364  1336.586060  1.085961e+07
23 2023-03-10  ETH-USD   SELL  8116.772364  1429.158081  1.160015e+07
24 2023-03-21  ETH-USD    BUY  6407.585366  1806.760742  1.158855e+07
25 2023-05-10  ETH-USD   SELL  6407.585366  1842.401489  1.180534e+07
26 2023-07-04  ETH-USD    BUY  6083.627824  1936.633545  1.179354e+07
27 2023-08-05  ETH-USD   SELL  6083.627824  1834.987915  1.116338e+07
28 2023-10-27  ETH-USD    BUY  6258.873945  1780.045288  1.115222e+07
29 2024-02-05  ETH-USD   SELL  6258.873945  2298.888916  1.438846e+07
30 2024-02-14  ETH-USD    BUY  5169.262990  2777.902344  1.437407e+07
31 2024-04-06  ETH-USD   SELL  5169.262990  3354.183838  1.733866e+07
32 2024-05-25  ETH-USD    BUY  4615.343782  3749.236572  1.732132e+07
33 2024-06-28  ETH-USD   SELL  4615.343782  3373.635986  1.557049e+07
34 2024-08-01  ETH-USD    BUY  4853.683325  3201.564453  1.555492e+07
35 2024-08-04  ETH-USD   SELL  4853.683325  2686.398926  1.303893e+07
36 2024-10-02  ETH-USD    BUY  5501.734956  2365.231689  1.302589e+07
37 2025-01-02  ETH-USD   SELL  5501.734956  3451.392578  1.898865e+07
38 2025-05-08  ETH-USD    BUY  8588.525733  2206.514648  1.896966e+07
39 2025-06-26  ETH-USD   SELL  8588.525733  2416.146729  2.075114e+07
