Trading report for ETH-USD
Started with $2,143.00
Ended with $35,736.47
Profit is $33,593.47 (1567.59%)

         date   ticker action   quantity        price          cost
0  2020-01-21  ETH-USD    BUY  12.615763   169.697159   2143.000000
1  2020-03-13  ETH-USD   SELL  12.615763   133.201813   1680.442503
2  2020-04-20  ETH-USD    BUY   9.733677   172.297165   1678.762061
3  2020-07-14  ETH-USD   SELL   9.733677   240.211487   2338.141059
4  2020-07-20  ETH-USD    BUY   9.881169   236.153168   2335.802918
5  2020-09-13  ETH-USD   SELL   9.881169   365.570007   3612.259160
6  2020-10-21  ETH-USD    BUY   9.192081   392.189972   3608.646901
7  2021-06-01  ETH-USD   SELL   9.192081  2633.518311  24207.512751
8  2021-08-02  ETH-USD    BUY   9.255834  2610.153320  24183.305238
9  2021-09-25  ETH-USD   SELL   9.255834  2925.565674  27078.550507
10 2021-10-16  ETH-USD    BUY   7.055288  3830.382080  27051.471957
11 2021-12-04  ETH-USD   SELL   7.055288  4119.587402  29064.874257
12 2022-02-23  ETH-USD    BUY  11.197983  2590.359619  29035.809383
13 2022-02-26  ETH-USD   SELL  11.197983  2781.111816  31142.842413
14 2022-03-28  ETH-USD    BUY   9.314961  3336.634521  31111.699571
15 2022-04-27  ETH-USD   SELL   9.314961  2888.929688  26910.266083
16 2022-07-24  ETH-USD    BUY  16.790804  1599.476685  26883.355817
17 2022-09-03  ETH-USD   SELL  16.790804  1556.872681  26141.143844
18 2022-10-31  ETH-USD    BUY  16.588462  1572.714478  26115.002700
19 2022-11-20  ETH-USD   SELL  16.588462  1142.466675  18951.764614
20 2022-12-27  ETH-USD    BUY  15.595341  1212.791626  18932.812849
21 2022-12-29  ETH-USD   SELL  15.595341  1201.595337  18739.289004
22 2023-01-10  ETH-USD    BUY  13.992251  1336.586060  18720.549715
23 2023-03-10  ETH-USD   SELL  13.992251  1429.158081  19997.138844
24 2023-03-21  ETH-USD    BUY  11.045837  1806.760742  19977.141705
25 2023-05-10  ETH-USD   SELL  11.045837  1842.401489  20350.866401
26 2023-07-04  ETH-USD    BUY  10.487377  1936.633545  20330.515535
27 2023-08-05  ETH-USD   SELL  10.487377  1834.987915  19244.209329
28 2023-10-27  ETH-USD    BUY  10.789478  1780.045288  19224.965119
29 2024-02-05  ETH-USD   SELL  10.789478  2298.888916  24803.811235
30 2024-02-14  ETH-USD    BUY   8.911132  2777.902344  24779.007424
31 2024-04-06  ETH-USD   SELL   8.911132  3354.183838  29889.573365
32 2024-05-25  ETH-USD    BUY   7.956247  3749.236572  29859.683792
33 2024-06-28  ETH-USD   SELL   7.956247  3373.635986  26841.482732
34 2024-08-01  ETH-USD    BUY   8.367114  3201.564453  26814.641249
35 2024-08-04  ETH-USD   SELL   8.367114  2686.398926  22477.404919
36 2024-10-02  ETH-USD    BUY   9.484270  2365.231689  22454.927514
37 2025-01-02  ETH-USD   SELL   9.484270  3451.392578  32733.937720
38 2025-05-08  ETH-USD    BUY  14.805492  2206.514648  32701.203782
39 2025-06-26  ETH-USD   SELL  14.805492  2416.146729  35772.241358
