Trading report for ETH-USD
Started with $213,124.00
Ended with $3,554,036.04
Profit is $3,340,912.04 (1567.59%)

         date   ticker action     quantity        price          cost
0  2020-01-21  ETH-USD    BUY  1254.653233   169.697159  2.131240e+05
1  2020-03-13  ETH-USD   SELL  1254.653233   133.201813  1.671221e+05
2  2020-04-20  ETH-USD    BUY   968.026228   172.297165  1.669550e+05
3  2020-07-14  ETH-USD   SELL   968.026228   240.211487  2.325310e+05
4  2020-07-20  ETH-USD    BUY   982.694513   236.153168  2.322985e+05
5  2020-09-13  ETH-USD   SELL   982.694513   365.570007  3.592436e+05
6  2020-10-21  ETH-USD    BUY   914.163789   392.189972  3.588844e+05
7  2021-06-01  ETH-USD   SELL   914.163789  2633.518311  2.407467e+06
8  2021-08-02  ETH-USD    BUY   920.504146  2610.153320  2.405060e+06
9  2021-09-25  ETH-USD   SELL   920.504146  2925.565674  2.692995e+06
10 2021-10-16  ETH-USD    BUY   701.657084  3830.382080  2.690302e+06
11 2021-12-04  ETH-USD   SELL   701.657084  4119.587402  2.890538e+06
12 2022-02-23  ETH-USD    BUY  1113.653241  2590.359619  2.887647e+06
13 2022-02-26  ETH-USD   SELL  1113.653241  2781.111816  3.097194e+06
14 2022-03-28  ETH-USD    BUY   926.384346  3336.634521  3.094097e+06
15 2022-04-27  ETH-USD   SELL   926.384346  2888.929688  2.676259e+06
16 2022-07-24  ETH-USD    BUY  1669.866209  1599.476685  2.673583e+06
17 2022-09-03  ETH-USD   SELL  1669.866209  1556.872681  2.599769e+06
18 2022-10-31  ETH-USD    BUY  1649.743023  1572.714478  2.597169e+06
19 2022-11-20  ETH-USD   SELL  1649.743023  1142.466675  1.884776e+06
20 2022-12-27  ETH-USD    BUY  1550.975946  1212.791626  1.882892e+06
21 2022-12-29  ETH-USD   SELL  1550.975946  1201.595337  1.863645e+06
22 2023-01-10  ETH-USD    BUY  1391.546682  1336.586060  1.861782e+06
23 2023-03-10  ETH-USD   SELL  1391.546682  1429.158081  1.988740e+06
24 2023-03-21  ETH-USD    BUY  1098.522141  1806.760742  1.986751e+06
25 2023-05-10  ETH-USD   SELL  1098.522141  1842.401489  2.023919e+06
26 2023-07-04  ETH-USD    BUY  1042.982572  1936.633545  2.021895e+06
27 2023-08-05  ETH-USD   SELL  1042.982572  1834.987915  1.913860e+06
28 2023-10-27  ETH-USD    BUY  1073.026923  1780.045288  1.911947e+06
29 2024-02-05  ETH-USD   SELL  1073.026923  2298.888916  2.466770e+06
30 2024-02-14  ETH-USD    BUY   886.223050  2777.902344  2.464303e+06
31 2024-04-06  ETH-USD   SELL   886.223050  3354.183838  2.972555e+06
32 2024-05-25  ETH-USD    BUY   791.258648  3749.236572  2.969582e+06
33 2024-06-28  ETH-USD   SELL   791.258648  3373.635986  2.669419e+06
34 2024-08-01  ETH-USD    BUY   832.119792  3201.564453  2.666749e+06
35 2024-08-04  ETH-USD   SELL   832.119792  2686.398926  2.235406e+06
36 2024-10-02  ETH-USD    BUY   943.222340  2365.231689  2.233170e+06
37 2025-01-02  ETH-USD   SELL   943.222340  3451.392578  3.255431e+06
38 2025-05-08  ETH-USD    BUY  1472.424500  2206.514648  3.252175e+06
39 2025-06-26  ETH-USD   SELL  1472.424500  2416.146729  3.557594e+06
