Trading report for BTC-USD
Started with $10,000.00
Ended with $80,645.80
Profit is $70,645.80 (706.46%)

         date   ticker action  quantity          price          cost
0  2020-01-21  BTC-USD    BUY  1.142251    8745.894531  10000.000000
1  2020-03-06  BTC-USD   SELL  1.142251    9122.545898  10420.240529
2  2020-04-19  BTC-USD    BUY  1.446489    7189.424805  10409.820289
3  2020-06-29  BTC-USD   SELL  1.446489    9190.854492  13294.466052
4  2020-07-27  BTC-USD    BUY  1.207175   10990.873047  13281.171586
5  2020-09-09  BTC-USD   SELL  1.207175   10242.347656  12364.302781
6  2020-10-13  BTC-USD    BUY  1.079967   11425.899414  12351.938479
7  2021-04-27  BTC-USD   SELL  1.079967   55033.117188  59433.972468
8  2021-08-01  BTC-USD    BUY  1.483812   39974.894531  59374.538496
9  2021-09-23  BTC-USD   SELL  1.483812   44895.097656  66615.879105
10 2021-10-11  BTC-USD    BUY  1.156528   57484.789062  66549.263226
11 2021-11-27  BTC-USD   SELL  1.156528   54815.078125  63395.184422
12 2022-02-19  BTC-USD    BUY  1.576897   40122.156250  63331.789238
13 2022-03-07  BTC-USD   SELL  1.576897   38062.039062  60019.927442
14 2022-03-19  BTC-USD    BUY  1.419746   42190.652344  59959.907515
15 2022-03-20  BTC-USD   SELL  1.419746   41247.824219  58561.431102
16 2022-03-27  BTC-USD    BUY  1.248266   46820.492188  58502.869671
17 2022-04-22  BTC-USD   SELL  1.248266   39740.320312  49606.487912
18 2022-07-28  BTC-USD    BUY  2.076313   23843.886719  49556.881424
19 2022-08-29  BTC-USD   SELL  2.076313   20297.994141  42144.990883
20 2022-10-31  BTC-USD    BUY  2.052169   20495.773438  42102.845892
21 2022-11-14  BTC-USD   SELL  2.052169   16618.199219  34103.348592
22 2022-12-25  BTC-USD    BUY  2.020855   16841.986328  34069.245244
23 2023-01-03  BTC-USD   SELL  2.020855   16679.857422  33707.571045
24 2023-01-12  BTC-USD    BUY  1.782775   18869.587891  33673.863474
25 2023-03-10  BTC-USD   SELL  1.782775   20187.244141  35989.307431
26 2023-03-19  BTC-USD    BUY  1.280995   28038.675781  35953.318124
27 2023-05-08  BTC-USD   SELL  1.280995   27694.273438  35476.223077
28 2023-06-25  BTC-USD    BUY  1.161583   30480.261719  35440.746854
29 2023-08-03  BTC-USD   SELL  1.161583   29178.679688  33893.446478
30 2023-10-01  BTC-USD    BUY  1.208763   27983.750000  33859.553032
31 2024-01-24  BTC-USD   SELL  1.208763   40077.074219  48443.692632
32 2024-02-11  BTC-USD    BUY  1.001097   48293.917969  48395.248939
33 2024-04-19  BTC-USD   SELL  1.001097   63843.570312  63913.614166
34 2024-05-25  BTC-USD    BUY  0.920884   69265.945312  63849.700552
35 2024-06-25  BTC-USD   SELL  0.920884   61804.640625  56914.917039
36 2024-07-28  BTC-USD    BUY  0.832180   68255.867188  56858.002122
37 2024-08-14  BTC-USD   SELL  0.832180   58737.269531  48880.009670
38 2024-09-25  BTC-USD    BUY  0.772568   63143.144531  48831.129661
39 2025-01-05  BTC-USD   SELL  0.772568   98314.960938  75954.952927
40 2025-01-21  BTC-USD    BUY  0.714139  106146.265625  75878.997974
41 2025-02-16  BTC-USD   SELL  0.714139   96175.031250  68682.346796
42 2025-04-24  BTC-USD    BUY  0.729640   93943.796875  68613.664449
43 2025-06-29  BTC-USD   SELL  0.729640  108385.570312  79082.409886
44 2025-07-08  BTC-USD    BUY  0.724408  108950.273438  79003.327476
