Portfolio report
Started with $10,000.00
Ended with $14,849.50
Profit $4,849.50 (48.49%)

         date ticker action  quantity        price          cost
0  2018-05-18  ^GSPC    BUY  3.685997  2712.969971  10000.000000
1  2018-10-17  ^GSPC   SELL  3.685997  2809.209961  10354.740345
2  2019-01-31  ^GSPC    BUY  3.829274  2704.100098  10354.740345
3  2019-05-28  ^GSPC   SELL  3.829274  2802.389893  10731.118906
4  2019-06-27  ^GSPC    BUY  3.668859  2924.919922  10731.118906
5  2019-08-16  ^GSPC   SELL  3.668859  2888.679932  10598.159490
6  2019-09-19  ^GSPC    BUY  3.524742  3006.790039  10598.159490
7  2020-03-03  ^GSPC   SELL  3.524742  3003.370117  10586.105148
8  2020-04-30  ^GSPC    BUY  3.634802  2912.429932  10586.105148
9  2020-10-01  ^GSPC   SELL  3.634802  3380.800049  12288.537627
10 2020-10-21  ^GSPC    BUY  3.576866  3435.560059  12288.537627
11 2021-09-30  ^GSPC   SELL  3.576866  4307.540039  15407.493086
12 2021-10-29  ^GSPC    BUY  3.345542  4605.379883  15407.493086
13 2022-01-25  ^GSPC   SELL  3.345542  4356.450195  14574.688293
14 2022-04-04  ^GSPC    BUY  3.180413  4582.640137  14574.688293
15 2022-05-02  ^GSPC   SELL  3.180413  4155.379883  13215.824224
16 2022-08-01  ^GSPC    BUY  3.208791  4118.629883  13215.824224
17 2022-09-16  ^GSPC   SELL  3.208791  3873.330078  12428.708316
18 2022-11-11  ^GSPC    BUY  3.112679  3992.929932  12428.708316
19 2023-01-03  ^GSPC   SELL  3.112679  3824.139893  11903.319141
20 2023-01-30  ^GSPC    BUY  2.962668  4017.770020  11903.319141
21 2023-03-14  ^GSPC   SELL  2.962668  3919.290039  11611.555643
22 2023-04-13  ^GSPC    BUY  2.800516  4146.220215  11611.555643
23 2023-08-25  ^GSPC   SELL  2.800516  4405.709961  12338.260803
24 2023-11-20  ^GSPC    BUY  2.713268  4547.379883  12338.260803
25 2024-04-26  ^GSPC   SELL  2.713268  5099.959961  13837.558705
26 2024-05-20  ^GSPC    BUY  2.606861  5308.129883  13837.558705
27 2024-08-09  ^GSPC   SELL  2.606861  5344.160156  13931.484633
28 2024-09-04  ^GSPC    BUY  2.523788  5520.069824  13931.484633
29 2025-01-13  ^GSPC   SELL  2.523788  5836.220215  14729.381118
30 2025-02-06  ^GSPC    BUY  2.421174  6083.569824  14729.381118
31 2025-03-07  ^GSPC   SELL  2.421174  5770.200195  13970.658718
32 2025-05-14  ^GSPC    BUY  2.370890  5892.580078  13970.658718
