Trading report for BTC/USDT
Deposit: $1,000.00
Total funds: $8,510.14
Profit: $7,510.14 (751.01%)

         date    ticker action  quantity      price         cost
0  2020-01-21  BTC/USDT    BUY  0.114354    8736.03  1000.000000
1  2020-03-05  BTC/USDT   SELL  0.114354    9054.68  1035.439938
2  2020-04-19  BTC/USDT    BUY  0.145121    7120.74  1034.404499
3  2020-06-29  BTC/USDT   SELL  0.145121    9192.56  1334.036363
4  2020-07-27  BTC/USDT    BUY  0.120705   11029.96  1332.702327
5  2020-09-09  BTC/USDT   SELL  0.120705   10219.20  1233.508197
6  2020-10-13  BTC/USDT    BUY  0.107792   11420.56  1232.274689
7  2021-04-28  BTC/USDT   SELL  0.107792   54846.22  5911.977221
8  2021-08-01  BTC/USDT    BUY  0.148076   39845.44  5906.065244
9  2021-09-23  BTC/USDT   SELL  0.148076   44865.26  6643.481420
10 2021-10-11  BTC/USDT    BUY  0.115365   57471.35  6636.837939
11 2021-11-27  BTC/USDT   SELL  0.115365   54721.03  6312.915847
12 2022-02-19  BTC/USDT    BUY  0.157196   40079.17  6306.602931
13 2022-03-07  BTC/USDT   SELL  0.157196   37988.00  5971.578160
14 2022-03-19  BTC/USDT    BUY  0.141220   42201.13  5965.606582
15 2022-03-20  BTC/USDT   SELL  0.141220   41262.11  5827.038456
16 2022-03-27  BTC/USDT    BUY  0.124187   46827.76  5821.211418
17 2022-04-22  BTC/USDT   SELL  0.124187   39709.18  4931.361385
18 2022-07-28  BTC/USDT    BUY  0.206414   23842.93  4926.430023
19 2022-08-29  BTC/USDT   SELL  0.206414   20285.73  4187.253535
20 2022-10-31  BTC/USDT    BUY  0.203940   20490.74  4183.066281
21 2022-11-14  BTC/USDT   SELL  0.203940   16619.46  3389.377440
22 2022-12-25  BTC/USDT    BUY  0.200961   16832.11  3385.988063
23 2023-01-03  BTC/USDT   SELL  0.200961   16675.18  3351.068575
24 2023-01-12  BTC/USDT    BUY  0.177452   18846.62  3347.717506
25 2023-03-10  BTC/USDT   SELL  0.177452   20150.69  3575.783151
26 2023-03-19  BTC/USDT    BUY  0.127575   27972.87  3572.207368
27 2023-05-08  BTC/USDT   SELL  0.127575   27668.79  3529.845725
28 2023-06-25  BTC/USDT    BUY  0.115643   30462.66  3526.315879
29 2023-08-03  BTC/USDT   SELL  0.115643   29193.64  3376.039819
30 2023-10-01  BTC/USDT    BUY  0.120364   27992.57  3372.663779
31 2024-01-24  BTC/USDT   SELL  0.120364   40084.88  4824.771898
32 2024-02-11  BTC/USDT    BUY  0.099692   48299.99  4819.947126
33 2024-04-19  BTC/USDT   SELL  0.099692   63818.01  6362.157461
34 2024-05-25  BTC/USDT    BUY  0.091635   69290.57  6355.795304
35 2024-06-25  BTC/USDT   SELL  0.091635   61806.01  5663.597719
36 2024-07-28  BTC/USDT    BUY  0.082817   68249.88  5657.934121
37 2024-08-14  BTC/USDT   SELL  0.082817   58683.39  4860.009418
38 2024-09-25  BTC/USDT    BUY  0.076804   63152.01  4855.149409
39 2025-01-05  BTC/USDT   SELL  0.076804   98363.61  7554.675298
40 2025-01-21  BTC/USDT    BUY  0.071032  106143.82  7547.120623
41 2025-02-16  BTC/USDT   SELL  0.071032   96118.12  6827.438049
42 2025-04-24  BTC/USDT    BUY  0.072502   93980.47  6820.610611
43 2025-06-29  BTC/USDT   SELL  0.072502  108356.93  7856.122707
44 2025-07-08  BTC/USDT    BUY  0.071981  108922.98  7848.266585
