Portfolio report
Started with $10,000.00
Ended with $13,701.07
Profit $3,701.07 (37.01%)

         date   ticker action  quantity        price          cost
0  2024-01-21  ETH-USD    BUY  4.075124  2453.913086  10000.000000
1  2024-02-02  ETH-USD   SELL  4.075124  2308.038086   9405.541293
2  2024-02-14  ETH-USD    BUY  3.385843  2777.902344   9405.541293
3  2024-04-06  ETH-USD   SELL  3.385843  3354.183838  11356.739974
4  2024-05-25  ETH-USD    BUY  3.029081  3749.236572  11356.739974
5  2024-06-28  ETH-USD   SELL  3.029081  3373.635986  10219.015505
6  2024-08-01  ETH-USD    BUY  3.191882  3201.564453  10219.015505
7  2024-08-04  ETH-USD   SELL  3.191882  2686.398926   8574.668003
8  2024-10-02  ETH-USD    BUY  3.625297  2365.231689   8574.668003
9  2025-01-02  ETH-USD   SELL  3.625297  3451.392578  12512.324115
10 2025-05-08  ETH-USD    BUY  5.670628  2206.514648  12512.324115
11 2025-06-26  ETH-USD   SELL  5.670628  2416.146729  13701.069693
