--- Trading Report for BTC/USDT ---

Initial Deposit: $102,103.00
Final Value:     $867,829.43
Total Profit:    $765,726.43 (749.95%)

--- Trade Log ---
         date    ticker action   quantity      price           cost
0  2020-01-21  BTC/USDT    BUY  11.675898    8736.03  102103.000000
1  2020-03-05  BTC/USDT   SELL  11.675898    9054.68  105721.524037
2  2020-04-19  BTC/USDT    BUY  14.817321    7120.74  105615.802513
3  2020-06-29  BTC/USDT   SELL  14.817321    9192.56  136209.114763
4  2020-07-27  BTC/USDT    BUY  12.324339   11029.96  136072.905648
5  2020-09-09  BTC/USDT   SELL  12.324339   10219.20  125944.887409
6  2020-10-13  BTC/USDT    BUY  11.005874   11420.56  125818.942522
7  2021-04-28  BTC/USDT   SELL  11.005874   54846.22  603630.610244
8  2021-08-01  BTC/USDT    BUY  15.119034   39845.44  603026.979634
9  2021-09-23  BTC/USDT   SELL  15.119034   44865.26  678319.383448
10 2021-10-11  BTC/USDT    BUY  11.779158   57471.35  677641.064064
11 2021-11-27  BTC/USDT   SELL  11.779158   54721.03  644567.646716
12 2022-02-19  BTC/USDT    BUY  16.050228   40079.17  643923.079069
13 2022-03-07  BTC/USDT   SELL  16.050228   37988.00  609716.044884
14 2022-03-19  BTC/USDT    BUY  14.418994   42201.13  609106.328840
15 2022-03-20  BTC/USDT   SELL  14.418994   41262.11  594958.107469
16 2022-03-27  BTC/USDT    BUY  12.679859   46827.76  594363.149361
17 2022-04-22  BTC/USDT   SELL  12.679859   39709.18  503506.791445
18 2022-07-28  BTC/USDT    BUY  21.075463   23842.93  503003.284654
19 2022-08-29  BTC/USDT   SELL  21.075463   20285.73  427531.147656
20 2022-10-31  BTC/USDT    BUY  20.822915   20490.74  427103.616508
21 2022-11-14  BTC/USDT   SELL  20.822915   16619.46  346065.604760
22 2022-12-25  BTC/USDT    BUY  20.518768   16832.11  345719.539155
23 2023-01-03  BTC/USDT   SELL  20.518768   16675.18  342154.154682
24 2023-01-12  BTC/USDT    BUY  18.118396   18846.62  341812.000527
25 2023-03-10  BTC/USDT   SELL  18.118396   20150.69  365098.187055
26 2023-03-19  BTC/USDT    BUY  13.025790   27972.87  364733.088868
27 2023-05-08  BTC/USDT   SELL  13.025790   27668.79  360407.838035
28 2023-06-25  BTC/USDT    BUY  11.807496   30462.66  360047.430197
29 2023-08-03  BTC/USDT   SELL  11.807496   29193.64  344703.793616
30 2023-10-01  BTC/USDT    BUY  12.289514   27992.57  344359.089822
31 2024-01-24  BTC/USDT   SELL  12.289514   40084.88  492623.685122
32 2024-02-11  BTC/USDT    BUY  10.178872   48299.99  492131.061437
33 2024-04-19  BTC/USDT   SELL  10.178872   63818.01  649595.363281
34 2024-05-25  BTC/USDT    BUY   9.356215   69290.57  648945.767918
35 2024-06-25  BTC/USDT   SELL   9.356215   61806.01  578270.317901
36 2024-07-28  BTC/USDT    BUY   8.455911   68249.88  577692.047583
37 2024-08-14  BTC/USDT   SELL   8.455911   58683.39  496221.541599
38 2024-09-25  BTC/USDT    BUY   7.841874   63152.01  495725.320058
39 2025-01-05  BTC/USDT   SELL   7.841874   98363.61  771355.011976
40 2025-01-21  BTC/USDT    BUY   7.252555  106143.82  770583.656964
41 2025-02-16  BTC/USDT   SELL   7.252555   96118.12  697101.907118
42 2025-04-24  BTC/USDT    BUY   7.402699   93980.47  696404.805210
43 2025-06-29  BTC/USDT   SELL   7.402699  108356.93  802133.696799
44 2025-07-08  BTC/USDT    BUY   7.349515  108922.98  801331.563102
