Trading report for BTC-USD
Started with $1,000.00
Ended with $195,987.94
Profit is $194,987.94 (19498.79%)

         date   ticker action  quantity          price           cost
0  2015-05-05  BTC-USD    BUY  4.235117     236.121002    1000.000000
1  2015-06-05  BTC-USD   SELL  4.235117     224.951996     952.697955
2  2015-06-23  BTC-USD    BUY  3.899769     244.296005     952.697955
3  2015-08-16  BTC-USD   SELL  3.899769     258.506989    1008.117505
4  2015-10-04  BTC-USD    BUY  4.231183     238.259003    1008.117505
5  2016-01-19  BTC-USD   SELL  4.231183     380.148987    1608.480031
6  2016-02-24  BTC-USD    BUY  3.785060     424.954987    1608.480031
7  2016-03-31  BTC-USD   SELL  3.785060     416.729004    1577.344195
8  2016-04-11  BTC-USD    BUY  3.733509     422.483002    1577.344195
9  2016-07-25  BTC-USD   SELL  3.733509     654.096985    2442.077143
10 2016-09-13  BTC-USD    BUY  4.008392     609.241028    2442.077143
11 2017-01-26  BTC-USD   SELL  4.008392     917.585999    3678.044800
12 2017-02-01  BTC-USD    BUY  3.718867     989.023010    3678.044800
13 2017-03-27  BTC-USD   SELL  3.718867    1045.770020    3889.079366
14 2017-04-17  BTC-USD    BUY  3.257431    1193.910034    3889.079366
15 2017-07-12  BTC-USD   SELL  3.257431    2398.840088    7814.055684
16 2017-08-02  BTC-USD    BUY  2.882703    2710.669922    7814.055684
17 2017-09-22  BTC-USD   SELL  2.882703    3630.699951   10466.228795
18 2017-10-11  BTC-USD    BUY  2.168501    4826.479980   10466.228795
19 2018-01-16  BTC-USD   SELL  2.168501   11490.500000   24917.165813
20 2018-03-04  BTC-USD    BUY  2.164339   11512.599609   24917.165813
21 2018-03-21  BTC-USD   SELL  2.164339    8929.280273   19325.987589
22 2018-04-27  BTC-USD    BUY  2.150426    8987.049805   19325.987589
23 2018-05-26  BTC-USD   SELL  2.150426    7355.879883   15818.277011
24 2018-07-22  BTC-USD    BUY  2.132277    7418.490234   15818.277011
25 2018-08-17  BTC-USD   SELL  2.132277    6580.629883   14031.726551
26 2019-01-07  BTC-USD    BUY  3.485928    4025.248291   14031.726551
27 2019-01-26  BTC-USD   SELL  3.485928    3602.460449   12557.918489
28 2019-02-22  BTC-USD    BUY  3.135148    4005.526611   12557.918489
29 2019-07-29  BTC-USD   SELL  3.135148    9519.145508   29843.929393
30 2019-08-17  BTC-USD    BUY  2.916798   10231.744141   29843.929393
31 2019-08-28  BTC-USD   SELL  2.916798    9754.422852   28451.679679
32 2019-11-05  BTC-USD    BUY  3.045394    9342.527344   28451.679679
33 2019-11-24  BTC-USD   SELL  3.045394    7047.916992   21463.686355
34 2020-01-08  BTC-USD    BUY  2.656442    8079.862793   21463.686355
35 2020-03-06  BTC-USD   SELL  2.656442    9122.545898   24233.513481
36 2020-04-19  BTC-USD    BUY  3.370717    7189.424805   24233.513481
37 2020-06-29  BTC-USD   SELL  3.370717    9190.854492   30979.765738
38 2020-07-27  BTC-USD    BUY  2.818681   10990.873047   30979.765738
39 2020-09-09  BTC-USD   SELL  2.818681   10242.347656   28869.911393
40 2020-10-13  BTC-USD    BUY  2.526708   11425.899414   28869.911393
41 2021-04-27  BTC-USD   SELL  2.526708   55033.117188  139052.617157
42 2021-08-01  BTC-USD    BUY  3.478499   39974.894531  139052.617157
43 2021-09-23  BTC-USD   SELL  3.478499   44895.097656  156167.537146
44 2021-10-11  BTC-USD    BUY  2.716676   57484.789062  156167.537146
45 2021-11-27  BTC-USD   SELL  2.716676   54815.078125  148914.797964
46 2022-02-19  BTC-USD    BUY  3.711535   40122.156250  148914.797964
47 2022-03-07  BTC-USD   SELL  3.711535   38062.039062  141268.600366
48 2022-03-19  BTC-USD    BUY  3.348339   42190.652344  141268.600366
49 2022-03-20  BTC-USD   SELL  3.348339   41247.824219  138111.692326
50 2022-03-27  BTC-USD    BUY  2.949813   46820.492188  138111.692326
51 2022-04-22  BTC-USD   SELL  2.949813   39740.320312  117226.509921
52 2022-07-28  BTC-USD    BUY  4.916418   23843.886719  117226.509921
53 2022-08-29  BTC-USD   SELL  4.916418   20297.994141   99793.420409
54 2022-10-31  BTC-USD    BUY  4.868976   20495.773438   99793.420409
55 2022-11-14  BTC-USD   SELL  4.868976   16618.199219   80913.606219
56 2022-12-25  BTC-USD    BUY  4.804279   16841.986328   80913.606219
57 2023-01-03  BTC-USD   SELL  4.804279   16679.857422   80134.693671
58 2023-01-12  BTC-USD    BUY  4.246764   18869.587891   80134.693671
59 2023-03-10  BTC-USD   SELL  4.246764   20187.244141   85730.469296
60 2023-03-19  BTC-USD    BUY  3.057579   28038.675781   85730.469296
61 2023-05-08  BTC-USD   SELL  3.057579   27694.273438   84677.431885
62 2023-06-25  BTC-USD    BUY  2.778107   30480.261719   84677.431885
63 2023-08-03  BTC-USD   SELL  2.778107   29178.679688   81061.497585
64 2023-10-01  BTC-USD    BUY  2.896735   27983.750000   81061.497585
65 2024-01-24  BTC-USD   SELL  2.896735   40077.074219  116092.648591
66 2024-02-11  BTC-USD    BUY  2.403877   48293.917969  116092.648591
67 2024-04-19  BTC-USD   SELL  2.403877   63843.570312  153472.103421
68 2024-05-25  BTC-USD    BUY  2.215693   69265.945312  153472.103421
