--- Trading Report for BTC/USDT ---

Initial Deposit: $7,816,923.00
Final Value:     $66,339,138.95
Total Profit:    $58,522,215.95 (748.66%)

--- Trade Log ---
         date    ticker action     quantity      price          cost
0  2020-01-21  BTC/USDT    BUY   893.897329    8736.03  7.816923e+06
1  2020-03-05  BTC/USDT   SELL   893.897329    9054.68  8.093954e+06
2  2020-04-19  BTC/USDT    BUY  1134.402117    7120.74  8.085860e+06
3  2020-06-29  BTC/USDT   SELL  1134.402117    9192.56  1.042806e+07
4  2020-07-27  BTC/USDT    BUY   943.541431   11029.96  1.041763e+07
5  2020-09-09  BTC/USDT   SELL   943.541431   10219.20  9.642239e+06
6  2020-10-13  BTC/USDT    BUY   842.600834   11420.56  9.632596e+06
7  2021-04-28  BTC/USDT   SELL   842.600834   54846.22  4.621347e+07
8  2021-08-01  BTC/USDT    BUY  1157.500987   39845.44  4.616726e+07
9  2021-09-23  BTC/USDT   SELL  1157.500987   44865.26  5.193158e+07
10 2021-10-11  BTC/USDT    BUY   901.802782   57471.35  5.187965e+07
11 2021-11-27  BTC/USDT   SELL   901.802782   54721.03  4.934758e+07
12 2022-02-19  BTC/USDT    BUY  1228.792426   40079.17  4.929823e+07
13 2022-03-07  BTC/USDT   SELL  1228.792426   37988.00  4.667937e+07
14 2022-03-19  BTC/USDT    BUY  1103.906488   42201.13  4.663269e+07
15 2022-03-20  BTC/USDT   SELL  1103.906488   41262.11  4.554951e+07
16 2022-03-27  BTC/USDT    BUY   970.759714   46827.76  4.550396e+07
17 2022-04-22  BTC/USDT   SELL   970.759714   39709.18  3.854807e+07
18 2022-07-28  BTC/USDT    BUY  1613.520364   23842.93  3.850952e+07
19 2022-08-29  BTC/USDT   SELL  1613.520364   20285.73  3.273144e+07
20 2022-10-31  BTC/USDT    BUY  1594.185519   20490.74  3.269871e+07
21 2022-11-14  BTC/USDT   SELL  1594.185519   16619.46  2.649450e+07
22 2022-12-25  BTC/USDT    BUY  1570.900285   16832.11  2.646801e+07
23 2023-01-03  BTC/USDT   SELL  1570.900285   16675.18  2.619505e+07
24 2023-01-12  BTC/USDT    BUY  1387.129749   18846.62  2.616885e+07
25 2023-03-10  BTC/USDT   SELL  1387.129749   20150.69  2.795162e+07
26 2023-03-19  BTC/USDT    BUY   997.243907   27972.87  2.792367e+07
27 2023-05-08  BTC/USDT   SELL   997.243907   27668.79  2.759253e+07
28 2023-06-25  BTC/USDT    BUY   903.972348   30462.66  2.756494e+07
29 2023-08-03  BTC/USDT   SELL   903.972348   29193.64  2.639024e+07
30 2023-10-01  BTC/USDT    BUY   940.875223   27992.57  2.636385e+07
31 2024-01-24  BTC/USDT   SELL   940.875223   40084.88  3.771487e+07
32 2024-02-11  BTC/USDT    BUY   779.286208   48299.99  3.767716e+07
33 2024-04-19  BTC/USDT   SELL   779.286208   63818.01  4.973249e+07
34 2024-05-25  BTC/USDT    BUY   716.304244   69290.57  4.968276e+07
35 2024-06-25  BTC/USDT   SELL   716.304244   61806.01  4.427191e+07
36 2024-07-28  BTC/USDT    BUY   647.377723   68249.88  4.422764e+07
37 2024-08-14  BTC/USDT   SELL   647.377723   58683.39  3.799032e+07
38 2024-09-25  BTC/USDT    BUY   600.367505   63152.01  3.795233e+07
39 2025-01-05  BTC/USDT   SELL   600.367505   98363.61  5.905432e+07
40 2025-01-21  BTC/USDT    BUY   555.249702  106143.82  5.899526e+07
41 2025-02-16  BTC/USDT   SELL   555.249702   96118.12  5.336956e+07
42 2025-04-24  BTC/USDT    BUY   566.744612   93980.47  5.331619e+07
43 2025-06-29  BTC/USDT   SELL   566.744612  108356.93  6.141071e+07
44 2025-07-08  BTC/USDT    BUY   562.672887  108922.98  6.134930e+07
