--- Trading Report for BTC/USDT ---

Initial Deposit: $1,000,000.00
Final Value:     $14,350,292.92
Total Profit:    $13,350,292.92 (1335.03%)

--- Trade Log ---
         date    ticker action    quantity      price          cost
0  2017-09-06  BTC/USDT    BUY  216.244748    4619.77  1.000000e+06
1  2017-09-18  BTC/USDT   SELL  216.244748    4035.01  8.725497e+05
2  2017-10-11  BTC/USDT    BUY  180.611637    4821.43  8.716772e+05
3  2018-01-16  BTC/USDT   SELL  180.611637   10900.00  1.968667e+06
4  2018-03-04  BTC/USDT    BUY  170.623833   11515.00  1.966698e+06
5  2018-03-21  BTC/USDT   SELL  170.623833    8885.00  1.515993e+06
6  2018-04-26  BTC/USDT    BUY  163.281222    9266.00  1.514477e+06
7  2018-05-26  BTC/USDT   SELL  163.281222    7333.96  1.197498e+06
8  2018-07-22  BTC/USDT    BUY  161.614508    7394.79  1.196300e+06
9  2018-08-17  BTC/USDT   SELL  161.614508    6584.49  1.064149e+06
10 2018-10-22  BTC/USDT    BUY  161.372233    6581.20  1.063085e+06
11 2018-10-29  BTC/USDT   SELL  161.372233    6344.50  1.023826e+06
12 2019-01-08  BTC/USDT    BUY  258.343095    3955.13  1.022802e+06
13 2019-01-26  BTC/USDT   SELL  258.343095    3565.25  9.210577e+05
14 2019-02-21  BTC/USDT    BUY  233.463315    3937.31  9.201367e+05
15 2019-07-29  BTC/USDT   SELL  233.463315    9507.64  2.219685e+06
16 2019-08-17  BTC/USDT    BUY  216.840826   10216.02  2.217465e+06
17 2019-08-28  BTC/USDT   SELL  216.840826    9721.00  2.107910e+06
18 2019-11-05  BTC/USDT    BUY  225.993651    9308.66  2.105802e+06
19 2019-11-24  BTC/USDT   SELL  225.993651    6903.28  1.560097e+06
20 2020-01-08  BTC/USDT    BUY  193.270139    8055.98  1.558537e+06
21 2020-03-05  BTC/USDT   SELL  193.270139    9054.68  1.749999e+06
22 2020-04-19  BTC/USDT    BUY  245.269840    7120.74  1.748249e+06
23 2020-06-29  BTC/USDT   SELL  245.269840    9192.56  2.254658e+06
24 2020-07-27  BTC/USDT    BUY  204.003724   11029.96  2.252403e+06
25 2020-09-09  BTC/USDT   SELL  204.003724   10219.20  2.084755e+06
26 2020-10-13  BTC/USDT    BUY  182.179290   11420.56  2.082670e+06
27 2021-04-28  BTC/USDT   SELL  182.179290   54846.22  9.991845e+06
28 2021-08-01  BTC/USDT    BUY  250.264062   39845.44  9.981854e+06
29 2021-09-23  BTC/USDT   SELL  250.264062   44865.26  1.122816e+07
30 2021-10-11  BTC/USDT    BUY  194.979382   57471.35  1.121693e+07
31 2021-11-27  BTC/USDT   SELL  194.979382   54721.03  1.066947e+07
32 2022-02-19  BTC/USDT    BUY  265.678032   40079.17  1.065880e+07
33 2022-03-07  BTC/USDT   SELL  265.678032   37988.00  1.009258e+07
34 2022-03-19  BTC/USDT    BUY  238.676360   42201.13  1.008248e+07
35 2022-03-20  BTC/USDT   SELL  238.676360   41262.11  9.848290e+06
36 2022-03-27  BTC/USDT    BUY  209.888607   46827.76  9.838442e+06
37 2022-04-22  BTC/USDT   SELL  209.888607   39709.18  8.334504e+06
38 2022-07-28  BTC/USDT    BUY  348.860317   23842.93  8.326170e+06
39 2022-08-29  BTC/USDT   SELL  348.860317   20285.73  7.076886e+06
40 2022-10-31  BTC/USDT    BUY  344.679917   20490.74  7.069809e+06
41 2022-11-14  BTC/USDT   SELL  344.679917   16619.46  5.728394e+06
42 2022-12-25  BTC/USDT    BUY  339.645401   16832.11  5.722666e+06
43 2023-01-03  BTC/USDT   SELL  339.645401   16675.18  5.663648e+06
44 2023-01-12  BTC/USDT    BUY  299.912250   18846.62  5.657985e+06
45 2023-03-10  BTC/USDT   SELL  299.912250   20150.69  6.043439e+06
46 2023-03-19  BTC/USDT    BUY  215.614772   27972.87  6.037395e+06
47 2023-05-08  BTC/USDT   SELL  215.614772   27668.79  5.965800e+06
48 2023-06-25  BTC/USDT    BUY  195.448466   30462.66  5.959834e+06
49 2023-08-03  BTC/USDT   SELL  195.448466   29193.64  5.705852e+06
50 2023-10-01  BTC/USDT    BUY  203.427261   27992.57  5.700146e+06
51 2024-01-24  BTC/USDT   SELL  203.427261   40084.88  8.154357e+06
52 2024-02-11  BTC/USDT    BUY  168.489992   48299.99  8.146203e+06
53 2024-04-19  BTC/USDT   SELL  168.489992   63818.01  1.075270e+07
54 2024-05-25  BTC/USDT    BUY  154.872619   69290.57  1.074194e+07
55 2024-06-25  BTC/USDT   SELL  154.872619   61806.01  9.572059e+06
56 2024-07-28  BTC/USDT    BUY  139.969970   68249.88  9.562487e+06
57 2024-08-14  BTC/USDT   SELL  139.969970   58683.39  8.213912e+06
58 2024-09-25  BTC/USDT    BUY  129.805860   63152.01  8.205698e+06
59 2025-01-05  BTC/USDT   SELL  129.805860   98363.61  1.276817e+07
60 2025-01-21  BTC/USDT    BUY  120.050909  106143.82  1.275540e+07
61 2025-02-16  BTC/USDT   SELL  120.050909   96118.12  1.153907e+07
62 2025-04-24  BTC/USDT    BUY  122.536231   93980.47  1.152753e+07
63 2025-06-29  BTC/USDT   SELL  122.536231  108356.93  1.327765e+07
64 2025-07-08  BTC/USDT    BUY  121.655881  108922.98  1.326437e+07
