Trading report for LTC-USD
Started with $2,000.00
Ended with $6,504.90
Profit is $4,504.90 (225.25%)

         date   ticker action    quantity       price          cost
0  2019-02-04  LTC-USD    BUY   58.577614   34.108627   2000.000000
1  2019-05-10  LTC-USD   SELL   58.577614   77.166649   4520.238155
2  2019-05-15  LTC-USD    BUY   44.338551  101.744568   4515.717916
3  2019-07-12  LTC-USD   SELL   44.338551  105.300056   4668.851922
4  2019-11-09  LTC-USD    BUY   75.208542   61.954712   4664.183070
5  2019-11-26  LTC-USD   SELL   75.208542   47.273342   3555.359132
6  2020-01-13  LTC-USD    BUY   71.344996   49.733768   3551.803773
7  2020-03-07  LTC-USD   SELL   71.344996   60.546310   4319.676282
8  2020-04-22  LTC-USD    BUY  102.919833   41.887413   4315.356605
9  2020-05-25  LTC-USD   SELL  102.919833   42.946129   4420.008415
10 2020-06-05  LTC-USD    BUY   93.748826   47.053146   4415.588407
11 2020-06-24  LTC-USD   SELL   93.748826   42.843826   4016.558415
12 2020-07-25  LTC-USD    BUY   82.134052   48.804768   4012.541857
13 2020-09-09  LTC-USD   SELL   82.134052   47.897697   3934.031976
14 2020-10-21  LTC-USD    BUY   74.015408   53.045330   3930.097944
15 2021-04-01  LTC-USD   SELL   74.015408  204.112518  15107.471420
16 2021-04-08  LTC-USD    BUY   66.418881  227.003021  15092.363949
17 2021-05-27  LTC-USD   SELL   66.418881  193.121094  12826.886951
18 2021-08-07  LTC-USD    BUY   82.130543  155.864777  12814.060064
19 2021-09-25  LTC-USD   SELL   82.130543  151.181458  12416.615263
20 2021-10-19  LTC-USD    BUY   65.585999  188.939819  12404.198648
21 2021-12-05  LTC-USD   SELL   65.585999  156.409790  10258.292366
22 2022-03-29  LTC-USD    BUY   78.715202  130.061234  10248.034073
23 2022-04-21  LTC-USD   SELL   78.715202  106.997986   8422.368076
24 2022-07-25  LTC-USD    BUY  154.609453   54.366276   8413.945707
25 2022-08-31  LTC-USD   SELL  154.609453   53.856663   8326.749174
26 2022-11-02  LTC-USD    BUY  137.224613   60.558468   8318.422425
27 2022-12-29  LTC-USD   SELL  137.224613   66.751076   9159.890532
28 2023-01-12  LTC-USD    BUY  106.341783   85.964226   9150.730642
29 2023-03-08  LTC-USD   SELL  106.341783   82.783531   8803.348319
30 2023-04-06  LTC-USD    BUY   96.622028   90.929153   8794.544971
31 2023-05-05  LTC-USD   SELL   96.622028   88.838669   8583.772348
32 2023-06-01  LTC-USD    BUY   91.161105   93.972336   8575.188576
33 2023-06-15  LTC-USD   SELL   91.161105   74.526436   6793.912229
34 2023-07-04  LTC-USD    BUY   64.752878  104.710991   6787.118317
35 2023-08-03  LTC-USD   SELL   64.752878   82.707794   5355.567675
36 2023-10-03  LTC-USD    BUY   81.609106   65.493515   5350.212107
37 2023-10-19  LTC-USD   SELL   81.609106   61.786652   5042.353430
38 2023-10-29  LTC-USD    BUY   73.142692   68.800842   5037.311077
39 2024-01-05  LTC-USD   SELL   73.142692   66.021149   4828.964525
40 2024-02-17  LTC-USD    BUY   68.857582   69.989624   4824.135561
41 2024-04-21  LTC-USD   SELL   68.857582   84.165680   5795.445171
42 2024-05-29  LTC-USD    BUY   69.283206   83.481499   5789.649725
43 2024-06-12  LTC-USD   SELL   69.283206   78.469414   5436.612546
44 2024-09-18  LTC-USD    BUY   83.780710   64.761330   5431.175933
45 2025-01-02  LTC-USD   SELL   83.780710  105.089821   8804.499812
46 2025-01-23  LTC-USD    BUY   75.419207  116.507568   8795.695312
47 2025-03-10  LTC-USD   SELL   75.419207   87.557991   6603.554242
48 2025-05-06  LTC-USD    BUY   71.742358   91.861496   6596.950687
49 2025-06-09  LTC-USD   SELL   71.742358   90.761101   6511.415380
