Trading report for ^GSPC
Started with $8,000.00
Ended with $11,463.72
Profit is $3,463.72 (43.30%)

         date ticker action  quantity        price          cost
0  2018-05-17  ^GSPC    BUY  2.938098  2720.129883   8000.000000
1  2018-10-17  ^GSPC   SELL  2.938098  2809.209961   8253.733986
2  2019-01-31  ^GSPC    BUY  3.046205  2704.100098   8245.480252
3  2019-05-28  ^GSPC   SELL  3.046205  2802.389893   8536.653865
4  2019-06-27  ^GSPC    BUY  2.912763  2924.919922   8528.117211
5  2019-08-16  ^GSPC   SELL  2.912763  2888.679932   8414.039122
6  2019-09-19  ^GSPC    BUY  2.792755  3006.790039   8405.625083
7  2020-03-03  ^GSPC   SELL  2.792755  3003.370117   8387.676851
8  2020-04-30  ^GSPC    BUY  2.874204  2912.429932   8379.289174
9  2020-10-01  ^GSPC   SELL  2.874204  3380.800049   9717.109600
10 2020-10-21  ^GSPC    BUY  2.822741  3435.560059   9707.392491
11 2021-09-30  ^GSPC   SELL  2.822741  4307.540039  12159.068073
12 2021-10-29  ^GSPC    BUY  2.634913  4605.379883  12146.909005
13 2022-01-25  ^GSPC   SELL  2.634913  4356.450195  11478.866220
14 2022-04-04  ^GSPC    BUY  2.499854  4582.640137  11467.387354
15 2022-05-02  ^GSPC   SELL  2.499854  4155.379883  10387.843154
16 2022-08-01  ^GSPC    BUY  2.517121  4118.629883  10377.455311
17 2022-09-16  ^GSPC   SELL  2.517121  3873.330078   9749.639025
18 2022-11-11  ^GSPC    BUY  2.436847  3992.929932   9739.889386
19 2023-01-03  ^GSPC   SELL  2.436847  3824.139893   9318.843731
20 2023-01-30  ^GSPC    BUY  2.314773  4017.770020   9309.524887
21 2023-03-14  ^GSPC   SELL  2.314773  3919.290039   9072.265884
22 2023-04-13  ^GSPC    BUY  2.183709  4146.220215   9063.193618
23 2023-08-25  ^GSPC   SELL  2.183709  4405.709961   9620.789641
24 2023-11-20  ^GSPC    BUY  2.111450  4547.379883   9611.168851
25 2024-04-26  ^GSPC   SELL  2.111450  5099.959961  10768.312736
26 2024-05-20  ^GSPC    BUY  2.024592  5308.129883  10757.544424
27 2024-08-09  ^GSPC   SELL  2.024592  5344.160156  10819.744231
28 2024-09-04  ^GSPC    BUY  1.956158  5520.069824  10808.924487
29 2025-01-13  ^GSPC   SELL  1.956158  5836.220215  11416.566340
30 2025-02-06  ^GSPC    BUY  1.872873  6083.569824  11405.149774
31 2025-03-07  ^GSPC   SELL  1.872873  5770.200195  10806.854380
32 2025-05-14  ^GSPC    BUY  1.830312  5892.580078  10796.047525
