Trading report for AAPL
Started with $10,000.00
Ended with $35,768.66
Profit is $25,768.66 (257.69%)

         date ticker action    quantity       price          cost
0  2014-02-27   AAPL    BUY  605.468449   16.499638  10000.000000
1  2014-04-22   AAPL   SELL  605.468449   16.625645  10066.303301
2  2014-04-25   AAPL    BUY  561.744857   17.883904  10056.236998
3  2014-10-17   AAPL   SELL  561.744857   21.604534  12136.235935
4  2014-10-28   AAPL    BUY  512.984901   23.610807  12124.099700
5  2015-01-05   AAPL   SELL  512.984901   23.604334  12108.666883
6  2015-02-05   AAPL    BUY  451.741823   26.750841  12096.558216
7  2015-04-16   AAPL   SELL  451.741823   28.140348  12712.172300
8  2015-04-28   AAPL    BUY  435.680054   29.119473  12699.460128
9  2015-06-26   AAPL   SELL  435.680054   28.387794  12367.995840
10 2015-10-27   AAPL    BUY  478.950396   25.771530  12355.627844
11 2015-12-18   AAPL   SELL  478.950396   23.956804  11474.120883
12 2016-03-10   AAPL    BUY  498.251510   22.982761  11462.646763
13 2016-05-05   AAPL   SELL  498.251510   21.310266  10617.872463
14 2016-06-23   AAPL    BUY  482.457445   21.963923  10607.254591
15 2016-06-27   AAPL   SELL  482.457445   21.035997  10148.973555
16 2016-06-30   AAPL    BUY  463.563394   21.849646  10138.824582
17 2016-07-11   AAPL   SELL  463.563394   22.165054  10274.907816
18 2016-07-25   AAPL    BUY  460.926420   22.247322  10264.632908
19 2016-11-15   AAPL   SELL  460.926420   24.739271  11402.983700
20 2016-12-21   AAPL    BUY  420.905441   27.037428  11391.580716
21 2017-06-27   AAPL   SELL  420.905441   33.478966  14091.478848
22 2017-08-02   AAPL    BUY  384.217052   36.602551  14077.387369
23 2017-10-02   AAPL   SELL  384.217052   35.967587  13819.360053
24 2017-11-01   AAPL    BUY  353.396562   39.026268  13805.540693
25 2018-02-06   AAPL   SELL  353.396562   38.260693  13521.197227
26 2018-03-08   AAPL    BUY  323.644555   41.694450  13507.676030
27 2018-04-13   AAPL   SELL  323.644555   41.173695  13325.642079
28 2018-05-10   AAPL    BUY  296.976703   44.781349  13312.316437
29 2018-07-11   AAPL   SELL  296.976703   44.443092  13198.563020
30 2018-07-24   AAPL    BUY  288.520632   45.654247  13185.364457
31 2018-10-29   AAPL   SELL  288.520632   50.381546  14536.115482
32 2019-02-12   AAPL    BUY  354.852281   40.882004  14521.579366
33 2019-05-24   AAPL   SELL  354.852281   42.979855  15251.499435
34 2019-07-01   AAPL    BUY  314.467981   48.402470  15236.247936
35 2020-03-06   AAPL   SELL  314.467981   70.049652  22028.372676
36 2020-04-30   AAPL    BUY  308.744301   71.205719  22006.344304
37 2020-10-02   AAPL   SELL  308.744301  110.061325  33980.806886
38 2020-11-05   AAPL    BUY  292.569601  115.914001  33946.826079
39 2021-02-26   AAPL   SELL  292.569601  118.466118  34659.584841
40 2021-04-19   AAPL    BUY  262.578749  131.733185  34624.925256
41 2021-05-26   AAPL   SELL  262.578749  124.137810  32595.950837
42 2021-06-28   AAPL    BUY  246.635715  131.898270  32563.354886
43 2021-10-01   AAPL   SELL  246.635715  139.809128  34481.924220
44 2021-11-04   AAPL    BUY  232.593296  147.953659  34447.442296
45 2022-01-31   AAPL   SELL  232.593296  171.549286  39901.213890
46 2022-04-05   AAPL    BUY  231.462412  172.043015  39861.312677
47 2022-05-03   AAPL   SELL  231.462412  156.731506  36277.452564
48 2022-07-20   AAPL    BUY  240.367382  150.623474  36241.175112
49 2022-09-19   AAPL   SELL  240.367382  152.251938  36596.399709
50 2022-11-21   AAPL    BUY  249.958691  146.117264  36559.803309
51 2022-11-29   AAPL   SELL  249.958691  139.364731  34835.425728
52 2022-12-01   AAPL    BUY  237.449710  146.413422  34800.590302
53 2022-12-19   AAPL   SELL  237.449710  130.677277  31029.281409
54 2023-02-03   AAPL    BUY  203.031842  152.524277  30998.252128
55 2023-08-16   AAPL   SELL  203.031842  175.055725  35541.886306
56 2023-11-14   AAPL    BUY  190.624351  186.077347  35506.344419
57 2024-01-17   AAPL   SELL  190.624351  181.351929  34570.093787
58 2024-05-08   AAPL    BUY  189.938657  181.642975  34535.523693
59 2024-08-20   AAPL   SELL  189.938657  225.716568  42872.301754
60 2024-08-27   AAPL    BUY  188.295582  227.231262  42829.429452
61 2024-11-19   AAPL   SELL  188.295582  227.730652  42880.675674
62 2024-12-03   AAPL    BUY  176.790576  242.066071  42837.794999
63 2025-01-27   AAPL   SELL  176.790576  229.306854  40539.290800
64 2025-03-06   AAPL    BUY  172.146977  235.021805  40498.751510
65 2025-03-17   AAPL   SELL  172.146977  213.719742  36791.207470
66 2025-06-05   AAPL    BUY  183.012001  200.630005  36754.416263
67 2025-06-17   AAPL   SELL  183.012001  195.639999  35804.467676
