Trading report for BTC-USD
Started with $50,000.00
Ended with $8,178,895.99
Profit is $8,128,895.99 (16257.79%)

         date   ticker action    quantity          price          cost
0  2014-11-20  BTC-USD    BUY  139.587666     357.839996  5.000000e+04
1  2014-12-17  BTC-USD   SELL  139.587666     319.776001  4.463679e+04
2  2015-02-27  BTC-USD    BUY  175.503100     253.828003  4.459215e+04
3  2015-04-03  BTC-USD   SELL  175.503100     254.322006  4.463430e+04
4  2015-05-18  BTC-USD    BUY  191.075803     233.128006  4.458967e+04
5  2015-06-05  BTC-USD   SELL  191.075803     224.951996  4.298288e+04
6  2015-06-23  BTC-USD    BUY  175.594371     244.296005  4.293990e+04
7  2015-08-16  BTC-USD   SELL  175.594371     258.506989  4.539237e+04
8  2015-10-04  BTC-USD    BUY  190.136270     238.259003  4.534698e+04
9  2016-01-19  BTC-USD   SELL  190.136270     380.148987  7.228011e+04
10 2016-02-24  BTC-USD    BUY  169.749025     424.954987  7.220783e+04
11 2016-03-31  BTC-USD   SELL  169.749025     416.729004  7.073934e+04
12 2016-04-11  BTC-USD    BUY  167.102592     422.483002  7.066860e+04
13 2016-07-25  BTC-USD   SELL  167.102592     654.096985  1.093013e+05
14 2016-09-13  BTC-USD    BUY  179.047228     609.241028  1.091920e+05
15 2017-01-26  BTC-USD   SELL  179.047228     917.585999  1.642912e+05
16 2017-02-01  BTC-USD    BUY  165.782771     989.023010  1.641269e+05
17 2017-03-27  BTC-USD   SELL  165.782771    1045.770020  1.733707e+05
18 2017-04-17  BTC-USD    BUY  144.922358    1193.910034  1.731973e+05
19 2017-07-12  BTC-USD   SELL  144.922358    2398.840088  3.476456e+05
20 2017-08-02  BTC-USD    BUY  127.994545    2710.669922  3.472979e+05
21 2017-09-22  BTC-USD   SELL  127.994545    3630.699951  4.647098e+05
22 2017-10-11  BTC-USD    BUY   96.091002    4826.479980  4.642451e+05
23 2018-01-16  BTC-USD   SELL   96.091002   11490.500000  1.104134e+06
24 2018-03-04  BTC-USD    BUY   95.714924   11512.599609  1.103030e+06
25 2018-03-21  BTC-USD   SELL   95.714924    8929.280273  8.546654e+05
26 2018-04-27  BTC-USD    BUY   94.909651    8987.049805  8.538107e+05
27 2018-05-26  BTC-USD   SELL   94.909651    7355.879883  6.981440e+05
28 2018-07-22  BTC-USD    BUY   93.920606    7418.490234  6.974459e+05
29 2018-08-17  BTC-USD   SELL   93.920606    6580.629883  6.180567e+05
30 2019-01-07  BTC-USD    BUY  153.238217    4025.248291  6.174387e+05
31 2019-01-26  BTC-USD   SELL  153.238217    3602.460449  5.520346e+05
32 2019-02-22  BTC-USD    BUY  137.542876    4005.526611  5.514826e+05
33 2019-07-29  BTC-USD   SELL  137.542876    9519.145508  1.309291e+06
